category,title,content
HR,Оформление ежегодного отпуска,Заявление на отпуск подается за 2 недели до начала. Необходимо согласование руководителя.
HR,График работы,Стандартный график работы: с 9:00 до 18:00. Возможен гибкий график по согласованию с менеджером.
HR,Больничный лист,При болезни нужно открыть электронный больничный и сообщить номер в HR. Оплата согласно стажу.
HR,Дресс-код,"Стиль одежды — Business Casual. По пятницам разрешен свободный стиль, исключая пляжную одежду."
HR,Увольнение,Заявление об увольнении подается за 14 дней. В последний рабочий день необходимо сдать технику.
HR,Оформление командировки,Командировка оформляется через портал 'Тревел'. Суточные выплачиваются за 3 дня до вылета.
HR,ДМС и Страховка,Полис ДМС доступен после испытательного срока (3 месяца). Включает стоматологию.
IT,Парольная политика,"Пароль должен содержать минимум 12 символов, заглавные буквы и цифры. Смена каждые 90 дней."
IT,VPN доступ,Для доступа из дома используйте Cisco AnyConnect. Логин и пароль совпадают с доменными.
IT,Wi-Fi для гостей,"Гостевая сеть Guest-Wifi. Пароль меняется еженедельно, узнать можно на ресепшн."
IT,Установка ПО,Самостоятельная установка программ запрещена. Создайте заявку в HelpDesk для установки софта.
IT,Потеря ноутбука,При утере корпоративного ноутбука немедленно сообщите в службу безопасности для блокировки доступа.
IT,Фишинг,Не открывайте подозрительные вложения. Пересылайте подозрительные письма на security@company.com.
Финансы,Возмещение расходов,Чеки за такси и представительские расходы нужно загрузить в систему до 25 числа.
Финансы,Зарплатный проект,Зарплата выплачивается 5 и 20 числа каждого месяца. Банк-партнер — Сбербанк.
Финансы,Премии,Квартальные премии выплачиваются при выполнении KPI отдела более чем на 80%.
Администрация,Пропускной режим,При утере пропуска обратитесь к охране. Штраф за восстановление — 500 рублей.
Администрация,Парковка,Места на парковке бронируются через приложение. Гостевой пропуск нужно заказывать за сутки.
Администрация,Кухня,Сотрудники обязаны убирать за собой посуду. Молоко и кофе пополняются ежедневно в 8:00.
Администрация,Переговорные,"Бронирование переговорных комнат осуществляется через Outlook. Отменяйте встречу, если она не состоится."
HR,Оформление ежегодного отпуска (Версия правила 2),Заявление на отпуск подается за 2 недели до начала. Необходимо согласование руководителя.
HR,График работы (Версия правила 2),Стандартный график работы: с 9:00 до 18:00. Возможен гибкий график по согласованию с менеджером.
HR,Больничный лист (Версия правила 2),При болезни нужно открыть электронный больничный и сообщить номер в HR. Оплата согласно стажу.
HR,Дресс-код (Версия правила 2),"Стиль одежды — Business Casual. По пятницам разрешен свободный стиль, исключая пляжную одежду."
HR,Увольнение (Версия правила 2),Заявление об увольнении подается за 14 дней. В последний рабочий день необходимо сдать технику.
HR,Оформление командировки (Версия правила 2),Командировка оформляется через портал 'Тревел'. Суточные выплачиваются за 3 дня до вылета.
HR,ДМС и Страховка (Версия правила 2),Полис ДМС доступен после испытательного срока (3 месяца). Включает стоматологию.
IT,Парольная политика (Версия правила 2),"Пароль должен содержать минимум 12 символов, заглавные буквы и цифры. Смена каждые 90 дней."
IT,VPN доступ (Версия правила 2),Для доступа из дома используйте Cisco AnyConnect. Логин и пароль совпадают с доменными.
IT,Wi-Fi для гостей (Версия правила 2),"Гостевая сеть Guest-Wifi. Пароль меняется еженедельно, узнать можно на ресепшн."
IT,Установка ПО (Версия правила 2),Самостоятельная установка программ запрещена. Создайте заявку в HelpDesk для установки софта.
IT,Потеря ноутбука (Версия правила 2),При утере корпоративного ноутбука немедленно сообщите в службу безопасности для блокировки доступа.
IT,Фишинг (Версия правила 2),Не открывайте подозрительные вложения. Пересылайте подозрительные письма на security@company.com.
Финансы,Возмещение расходов (Версия правила 2),Чеки за такси и представительские расходы нужно загрузить в систему до 25 числа.
